用例ID,模块,子场景,业务描述,输入,期望输出,校验点
INT-901,意图识别,澄清场景-通用噪声/乱码,输入为噪声/乱码，需要澄清,111,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-902,意图识别,澄清场景-闲聊问候,仅闲聊/问候，需要澄清,你好,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-903,意图识别,澄清场景-仅意图词（预测对比）,仅有意图，缺少关键参数,预测对比,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 指出缺失字段：时间窗、仓或SKU
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-904,意图识别,澄清场景-仅意图词（调拨计划）,仅有意图，缺少关键参数,调拨计划,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 指出缺失字段：仓、SKU、时间窗
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-905,意图识别,澄清场景-仅意图词（需求预测）,仅有意图，缺少关键参数,需求预测,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 指出缺失字段：时间窗；可选：仓或SKU
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-906,意图识别,澄清场景-仅意图词（KPI报告）,仅有意图，缺少关键参数,KPI报告,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 指出缺失字段：时间窗；可选：指标/维度
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-907,意图识别,澄清场景-仅SKU,仅有SKU，缺少任务与其他参数,A001,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 指出缺失字段：任务、时间窗、仓
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-908,意图识别,澄清场景-仅仓,仅有仓名，缺少任务与其他参数,北京仓,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 指出缺失字段：任务、时间窗、SKU
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-909,意图识别,澄清场景-仅时间窗,仅有时间窗，缺少任务与其他参数,2025-07,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 指出缺失字段：任务；可选：仓或SKU
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-910,意图识别,澄清场景-多意图混合,多意图混合表达，需要澄清优先任务,先预测后调拨,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 提示先选择一个任务
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-911,意图识别,澄清场景-不合法时间窗,时间窗格式不合法,2025-13,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 提示时间窗格式需为YYYY-MM/本周/下周/上月等
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-912,意图识别,澄清场景-未识别仓别名,仓别名未映射,魔都仓,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 提示使用标准仓名或确认别名
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-913,意图识别,澄清场景-仅导出诉求,仅有导出诉求，缺少业务内容,导成CSV给我,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 说明需给出导出的内容与时间窗
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-914,意图识别,澄清场景-指代不明承接,仅有指代词或承接语,同上,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 提示需完整复述一条指令
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
INT-915,意图识别,澄清场景-需求模糊描述,需求描述模糊，需要明确任务与参数,来个表,不好意思，我还没完全明白你的意思。能否用一句话告诉我：要做什么？示例： • 预测对比 北京仓 2025-07 • 调拨计划 成都仓 A001 本周,"[MUST] 输出为通用澄清话术；[SHOULD] 提示需明确任务与关键参数
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='true'
[MUST] confidence_level∈{low, medium}"
